Restaurant Name,City,Cuisines
Austin's BBQ and Oyster Bar,Albany,"BBQ, Burger, Seafood"
BJ's Country Buffet,Albany,"American, BBQ"
Cookie Shoppe,Albany,
El Vaquero Mexican Restaurant,Albany,Mexican
Elements Coffee Co - Northwest,Albany,"Coffee and Tea, Sandwich"
Pearly's Famous Country Cookng,Albany,
Chick-fil-A,Albany,Fast Food
Guang Zhou Chinese Restaurant,Albany,"Asian, Chinese, Vegetarian"
Harvest Moon,Albany,"Pizza, Bar Food, Sandwich"
Henry Campbell's Steakhouse,Albany,"Steak, Tapas, Bar Food"
Hong Kong Cafe,Albany,"Chinese, Seafood, Vegetarian"
House of China Restaurant II,Albany,Chinese
Jimmie's Hot Dogs,Albany,
Locos Grill & Pub,Albany,"American, Burger, Sandwich"
Longhorn Steakhouse,Albany,"American, Steak"
Mikata Japanese Steakhouse,Albany,"Japanese, Steak, Sushi"
Shogun Japanese Steak House,Albany,"Japanese, Steak, Sushi"
The Catch Seafood Room & Oyster Bar,Albany,"Seafood, Tapas, Bar Food"
Villa Gargano,Albany,"Italian, Pizza"
3 Squares Diner,Albany,"American, Breakfast, Diner"
Last Resort Grill,Athens,"American, Southern, Southwestern"
Mama's Boy Restaurant,Athens,Southern
Sr. Sol 1,Athens,Mexican
Choo Choo Eastside,Athens,"Japanese, Korean"
The Grill,Athens,"Breakfast, Burger, Sandwich"
Big City Bread Cafe,Athens,"Breakfast, Sandwich"
Clocked,Athens,"American, Burger, Sandwich"
DePalma's Italian Cafe - Downtown,Athens,"American, Italian, Pizza"
DePalma's Italian Cafe - East Side,Athens,"American, Italian, Pizza"
Five & Ten,Athens,American
Grit,Athens,"International, Southern, Vegetarian"
Ike & Jane,Athens,Sandwich
La Dolce Vita Ristorante,Athens,Italian
Shokitini,Athens,"Asian, Japanese, Sushi"
Taqueria Del Sol,Athens,"Mexican, Spanish"
The National,Athens,"International, Southern"
The Royal Peasant,Athens,Bar Food
Transmetropolitan,Athens,"Italian, Pizza, Sandwich"
Trappeze Pub,Athens,"Burger, Bar Food"
Viva! Argentine Cuisine,Athens,"Desserts, Latin American, Argentine"
Miyabi Kyoto Japanese Steak House,Augusta,"Chinese, Steak"
Rae's Coastal Cafe,Augusta,"American, Caribbean, Seafood"
The Bee's Knees,Augusta,"International, Tapas, Vegetarian"
Boll Weevil Cafe,Augusta,"Desserts, Sandwich, Southern"
Farmhaus Burger,Augusta,"American, Burger"
Manuel's Bread Cafe,Augusta,"Breakfast, French"
Sconyers Bar B Que,Augusta,BBQ
Frog Hollow Tavern,Augusta,American
Giuseppe's Pizza & Italian Specialities,Augusta,"Desserts, Italian, Pizza"
Mellow Mushroom,Augusta,"Italian, Pizza, Sandwich"
Nacho Mamas Burritos,Augusta,Mexican
Rhinehart's Oyster Bar,Augusta,"Bar Food, Sandwich, Seafood"
Takosushi,Augusta,"Mexican, Southwestern, Sushi"
The Chop House,Augusta,Steak
The Taj of India,Augusta,Indian
Augsburg Haus,Augusta,German
Pho Bac,Augusta,Vietnamese
Rhinehart's Oyster Bar,Augusta,"Burger, Seafood"
Thai Kitchen,Augusta,Thai
El Kiosco Mexican Restaurant,Augusta,Mexican
Bardenay,Boise,"American, Bar Food"
Flatbread Neapolitan Pizzeria,Boise,"Italian, Pizza"
Goldy's Breakfast Bistro,Boise,"Breakfast, Sandwich"
Chandlers Steakhouse,Boise,"American, Seafood, Steak"
Bar Gernika Basque Pub & Eatery,Boise,"European, Spanish"
Barbacoa Restaurant,Boise,"Latin American, Steak"
Big Jud's,Boise,"American, Burger, Sandwich"
Bittercreek Ale House,Boise,"American, Bar Food"
Boise Fry Company,Boise,"American, Burger"
Flying Pie Pizzaria,Boise,Pizza
Fork,Boise,"American, Burger"
Guido's Original New York Style Pizza,Boise,Pizza
Los Beto's,Boise,Mexican
